Word,Length,LgSUBTLWF,Ortho_N,Phono_N,BG_Mean,Pron,NPhon,NSyll,POS,I_LexDec_Mean_RT,I_NMG_Mean_RT,AoA,Conc.M,Consist
a,1,6.02,1,8,NULL,"""e",1,1,minor|NN,798.92,662.09,2.89,1,0.125
aah,3,3.43,2,0,36.5,NULL,NULL,NULL,NULL,816.43,646.4,NA,NA,NA
Aaron,5,2.87,3,2,2429.75,"""E.r@n",4,2,NN,736.06,686.11,NA,NA,NA
aback,5,1.2,0,2,1047.25,"@.b""ak",4,2,RB,796.27,596.54,NA,1.65,NA
abacus,6,1.11,0,0,1074.4,"""a.b@.k@s",6,3,NN,964.4,792.69,8.69,4.52,NA
abandon,7,2.62,0,0,2037,"@.b""an.4@n",7,3,VB|NN,695.72,623.96,8.32,2.54,NA
abandoned,9,2.83,0,0,2372.75,"@.b""an.4@nd",8,3,VB|JJ,860.77,635.16,NA,2.52,NA
abandoning,10,1.94,0,0,2728.22,"@.b""an.4@n.IN",9,4,VB,740.55,782.78,NA,NA,NA
abandonment,11,1.7,0,0,2088.4,"@.b""an.4@n.m@nt",11,4,NN,771.09,794.7,10.27,2.54,NA
abase,5,0.6,3,2,1316.5,"@.b""es",4,2,VB,803.27,646.57,14.57,NA,NA
abasement,9,NULL,0,0,1856.5,"@.b""es.m@nt",8,3,NN,1037.06,809.74,15.13,1.67,NA
abash,5,NULL,2,1,1132.5,"@.b""aS",4,2,VB,748.71,594.43,NA,NA,NA
abate,5,0.78,1,5,2589.75,"@.b""et",4,2,VB,719.54,668.39,14.44,NA,NA
abated,6,0.7,0,2,2968.8,"@.b""e4.@d",6,3,VB,894.23,693.28,NA,NA,NA
abbess,6,0.48,0,2,1619.8,"""a.b@s",4,2,NN,885.14,797,15.43,NA,NA
abbey,5,2.21,0,4,568.75,"""a.bi",3,2,NN,726.19,682.57,13.06,NA,NA
abbot,5,1.64,0,1,712.5,"""a.b@t",4,2,NN,808.58,750.13,12.10,NA,NA
abbreviate,10,0.3,0,0,1915.67,"@.br""i.vi.et",8,4,VB,795.03,708.44,9.95,2.59,NA
abide,5,2.14,3,3,1267.25,"@.b""aId",4,2,VB,773.21,633.83,9.50,1.68,NA
abides,6,0.7,0,0,1911.6,"@.b""aIdz",5,2,VB,750.63,696.22,NA,NA,NA
abiding,7,1.42,0,0,2526.5,"@.b""aI4.IN",6,3,JJ|VB,784.67,620.16,10.30,2.07,NA
Abigail,7,2.19,0,0,900.83,"""a.b@.gel",6,3,NN,881.12,802.15,NA,NA,NA
abbreviated,11,1.23,0,0,2172.6,"@.br""i.vi.%e4.@d",10,5,JJ|VB,698.45,695.63,10.50,3.1,NA
abbreviation,12,1.11,0,0,2248.82,"@.br%i.vi.""e.Sn=",9,5,NN,728.91,714.93,9.11,3.07,NA
abbreviations,13,1.04,0,0,2216.08,"@.br%i.vi.""e.Sn=z",10,5,NN,729.13,689.48,NA,NA,NA
abdicate,8,1,0,0,2224,"""ab.d@.ket",7,3,VB,1056,819.91,12.60,2.08,NA
abdomen,7,2.24,0,0,1397,"""ab.d@.m@n",7,3,NN,813.43,758.67,8.61,4.7,NA
abdominal,9,2.24,0,0,1947.88,"ab.d""A.m@.nl=",8,4,JJ,715.55,737.76,10.24,4.28,NA
abduct,6,1.57,0,0,592.4,"@b.d""Vkt",6,2,VB,769.67,707.81,11.26,2.88,NA
abduction,9,2.27,0,0,1856.63,"@b.d""Vk.Sn=",7,3,NN,795.88,667.38,11.94,3.07,NA
Abe,3,NULL,9,13,932,"""eb",2,1,NN,820.67,625.52,NA,NA,NA
abed,4,1.04,4,4,2116.33,"@.b""Ed",4,2,RB,887.5,634.5,NA,NA,NA
Abel,4,1.84,2,2,1199.33,"""e.bl=",3,2,NN,782.75,713.92,NA,NA,NA
Abel's,6,NULL,0,0,933.6,"""e.bl=z",4,2,encl,840.14,775.84,NA,NA,NA
aberrant,8,1.2,0,0,2602.14,"@.b""E.r@nt",7,3,JJ,955.38,818.76,13.31,NA,NA
aberration,10,1.46,0,0,3087.33,"%a.b@`.r""e.Sn=",7,4,NN,946.55,882.48,12.69,NA,NA
aberrations,11,0.95,0,0,2964.2,"%a.b@`.r""e.Sn=z",8,4,NN,1005.37,829.63,NA,NA,NA
abet,4,0.78,3,4,1072.67,"@.b""Et",4,2,VB,792,619.14,12.15,NA,NA
abetted,7,0.95,0,1,2128.33,"@.b""E4.@d",6,3,VB,998.5,654.63,NA,NA,NA
abeyance,8,0.48,0,0,1246.71,"@.b""e@ns",6,2,NN,914,889.75,15.00,NA,NA
abhor,5,1.11,0,0,1240.5,"@b.h""Or",5,2,VB,786.15,789,13.76,1.81,NA
abhorred,8,0.9,0,0,2081,"@b.h""Ord",6,2,VB,798.44,791.88,NA,NA,NA
abhorrent,9,1,0,0,2114.5,"@b.h""Or.@nt",8,3,JJ,794.15,781.32,12.14,NA,NA
abilities,9,2.5,0,0,2312.25,"@.b""Il.@.4iz",8,4,NN,657.06,711.81,NA,NA,NA
ability,7,2.99,1,1,1446.83,"@.b""Il.@.4i",7,4,NN,619.68,583.04,8.84,1.81,NA
abject,6,1.32,1,0,724.4,"""ab.dZEkt",6,2,JJ,692.67,768.38,14.00,1.67,NA
ablaze,6,1.34,0,0,962.6,"@.bl""ez",5,2,JJ,740.73,644.36,10.83,3.82,NA
able,4,3.91,2,2,1867.33,"""e.bl=",3,2,JJ,623.3,628.21,7.79,2.38,NA
ably,4,1,2,0,1243.33,"""e.bli",4,2,RB,796.14,773.83,NA,1.78,NA
abnormal,8,2.17,0,0,1413.57,"ab.n""Or.ml=",7,3,JJ,684.91,673.38,10.05,2.14,NA
abnormalities,13,1.42,0,0,2111.58,"%ab.nOr.m""al.@.4iz",12,5,NN,898.37,724.48,NA,NA,NA
abnormality,11,1.43,0,0,1552.2,"%ab.nOr.m""al.@.4i",11,5,NN,781.44,671.48,11.58,2.48,NA
abnormally,10,1.32,0,0,1450.67,"ab.n""Or.ml=.i",8,4,RB,843.26,639.04,NA,1.75,NA
aboard,6,3.13,0,5,1156.6,"@.b""Ord",5,2,minor|RB,628.16,654.87,8.66,3.97,NA
abode,5,1.53,3,2,1226.5,"@.b""od",4,2,NN,855.83,665.96,12.06,3.92,NA
abolish,7,1.4,0,0,1645,"@.b""A.lIS",6,3,VB,703.22,654.76,10.42,2.19,NA
abolished,9,1.32,0,0,2013,"@.b""A.lISt",7,3,VB,664.63,659.32,NA,NA,NA
abolition,9,1.04,0,0,2485.5,"%a.b@.l""IS.n=",7,4,NN,834.33,904.14,13.28,2.43,NA
abolitionist,12,1.08,0,0,2520.55,"%a.b@.l""IS.n=.Ist",10,5,NN|JJ,982.89,917.08,12.60,3.28,NA
abolitionists,13,1.15,0,0,2394.33,"%a.b@.l""IS.n=.Ists",11,5,NN,1010.97,859.38,NA,NA,NA
abominate,9,0.6,0,0,2657.13,"@.b""A.m@.net",8,4,VB,888.59,849,15.00,1.68,NA
aborigines,10,1,0,0,2494.78,"%a.b@`.r""I.dZ@.niz",10,5,NN,977.36,875.94,NA,NA,NA
abort,5,2.37,1,2,1381.75,"@.b""Ort",5,2,VB,672.48,583.7,12.21,2.83,NA
abominable,10,1.52,0,0,2031.44,"@.b""A.m@.n@.bl=",9,5,JJ,829.07,899.21,8.94,1.89,NA
aboriginal,10,1,0,1,2242.22,"%a.b@`.r""I.dZ@.nl=",9,5,JJ|NN,916.73,923.68,14.75,3.12,NA
aborigine,9,0.7,0,1,2245.5,"%a.b@`.r""I.dZ@.ni",9,5,NN,933.6,951.93,12.56,NA,NA
abortion,8,2.57,0,1,2488.29,"@.b""Or.Sn=",6,3,NN,686.45,660.69,13.21,3.41,NA
abortionist,11,0.7,0,0,2526,"@.b""Or.Sn=.Ist",9,4,NN,833.82,807.79,15.00,3.19,NA
abortions,9,1.56,0,0,2409.25,"@.b""Or.Sn=z",7,3,NN,774.63,643.48,NA,NA,NA
abortive,8,0.3,0,0,1868.29,"@.b""Or4.Iv",7,3,JJ,881.08,713.44,13.93,1.88,NA
abound,6,1.28,1,0,1412.6,"@.b""aUnd",5,2,VB,768.9,596.33,11.65,2.27,NA
abounded,8,0.6,0,2,2021.29,"@.b""aUn4.@d",7,3,VB,832.31,685.54,NA,NA,NA
abounding,9,0.7,0,2,2469.25,"@.b""aUn4.IN",7,3,VB,884.52,657,NA,2.04,NA
abounds,7,1.04,0,0,1246.33,"@.b""aUndz",6,2,VB,678.9,614.67,NA,NA,NA
about,5,5.27,1,3,1096.75,"@.b""aUt",4,2,minor|RB|JJ,628.19,560.43,5.07,1.77,NA
above,5,3.4,1,1,1053,"@.b""Vv",4,2,minor|JJ|NN,564.33,561.39,4.55,1,NA
aboveground,11,0.9,0,0,1283,"@.b""Vv.gr%aUnd",9,3,RB|JJ,830.65,755.89,8.05,4.03,NA
abracadabra,11,1.73,0,0,1423.4,"%a.br@.k@.d""a.br@",11,5,minor,889.25,950.95,6.89,2.04,NA
Abraham,7,2.42,0,0,1141.5,"""e.br@.h%am",7,3,NN,782.84,729.88,NA,NA,NA
abrasion,8,1.28,0,0,2136.43,"@.br""e.Zn=",6,3,NN,807.35,751.56,11.95,4.57,NA
abrasive,8,1.38,0,0,1516.43,"@.br""es.Iv",7,3,JJ,710.59,635.54,12.22,3.03,NA
abreast,7,1.43,0,3,2159.17,"@.br""Est",6,2,RB,846.48,711,13.06,2.23,NA
abridged,8,1,0,0,1590.71,"@.br""IdZd",6,2,VB,927.29,758.54,12.56,1.77,NA
abridgment,10,NULL,0,0,1563.78,"@.br""IdZ.m@nt",9,3,NN,1152.61,786.96,NA,2.67,NA
abroad,6,2.4,0,0,1039,"@.br""Od",5,2,RB|NN,654.69,621.7,10.15,2.72,NA
abrogate,8,0.3,0,0,1917.14,"""a.br@.get",7,3,VB,798.58,1052.43,15.22,NA,NA
abrogated,9,0.48,0,0,2238.13,"""a.br@.g%e4.@d",9,4,VB,818.53,805.88,NA,NA,NA
abrupt,6,1.77,0,0,602.6,"@.br""Vpt",6,2,JJ,690.97,584.89,10.95,2.27,NA
abruptly,8,1.66,0,0,711,"@.br""Vpt.li",8,3,RB,701.21,637.79,NA,2.36,NA
abruptness,10,0.7,0,0,1268,"@.br""Vpt.n@s",9,3,NN,817.68,768.5,12.39,2.04,NA
abscess,7,1.42,0,3,1633.17,"""ab.sEs",5,2,NN,1033.5,801.45,13.11,4.48,NA
abscesses,9,0.9,0,3,2039.88,"""ab.sEs.@z",7,3,NN,1061.21,997.06,NA,NA,NA
abscissa,8,NULL,0,0,1165.57,"ab.s""I.s@",6,3,NN,953.15,748.57,NA,NA,NA
abscond,7,0.78,0,0,1824.67,"@b.sk""And",7,2,VB,774.11,803.2,13.36,NA,NA
absence,7,2.51,0,2,1684.5,"""ab.sn=s",5,2,NN,687,666.15,7.70,2.31,NA
absences,8,1.18,0,1,2085.14,"""ab.sn=s.@z",7,3,NN,812.12,713,NA,NA,NA
absent,6,2.12,1,1,2019,"""ab.sn=t",5,2,JJ,665.32,607.88,6.50,2.7,NA
absented,8,NULL,2,1,2710.71,"ab.s""En4.@d",8,3,VB,794.58,792.21,NA,NA,NA
absentee,8,1.28,1,0,2194.29,"%ab.sn=t.""i",6,3,JJ,886.79,671.09,11.00,3.29,NA
absenteeism,11,0.78,0,0,1895.5,"%ab.sn=t.""i.I.zm=",9,5,NN,963.42,917.86,13.43,2.35,NA
absently,8,NULL,0,0,1722.71,"""ab.sn=t.li",7,3,RB,648.1,716.08,NA,1.71,NA
absinth,7,NULL,0,0,2360.67,"""ab.sInT",6,2,NN,744.5,710.3,NA,NA,NA
absolute,8,2.76,0,0,1318.29,"""ab.s@.l%ut",7,3,JJ|NN,707.03,578.29,8.53,1.81,NA
absoluteness,12,0.3,0,0,1943.55,"""ab.s@.l%ut.n@s",10,4,NN,888.84,707.25,12.68,1.5,NA
absentmindedly,14,NULL,0,0,2242.92,"%ab.sn=t.m""aIn4.@d.li",13,5,RB,1038.53,835.06,NA,1.76,NA
absolutely,10,3.76,0,0,1389.56,"%ab.s@.l""ut.li",9,4,RB,667,682.46,7.08,1.97,NA
absolutes,9,1.34,0,0,1714.63,"""ab.s@.l%uts",8,3,NN,826.7,666.5,NA,NA,NA
absolution,10,1.69,0,0,1858.22,"%ab.s@.l""u.Sn=",8,4,NN,842.88,695.85,11.71,1.78,NA
absolutism,10,NULL,0,0,1432.78,"""ab.s@.l%u4.I.zm=",10,5,NN,934.96,904.61,NA,1.46,NA
absolve,7,1.48,0,0,886.33,"@b.z""Alv",6,2,VB,730.12,653.3,12.90,1.85,NA
absorb,6,2.01,0,0,1005.6,"@b.z""Orb",6,2,VB,633.78,640.72,8.83,3.11,NA
absorbed,8,1.9,2,2,1481.57,"@b.z""Orbd",7,2,VB|JJ,735.41,661.16,NA,2.44,NA
absorbency,10,NULL,0,0,1252.89,"@b.z""Orb.@n.si",10,4,NN,955.82,769.08,NA,2.97,NA
absorbent,9,0.95,0,0,1590,"@b.z""Orb.@nt",9,3,JJ,793.73,805.7,10.32,3.1,NA
absorber,8,0.6,1,2,1721.14,"@b.z""Orb.@`",7,3,NN,794.7,675.56,10.33,2.96,NA
absorbing,9,1.38,0,0,2057.25,"@b.z""Orb.IN",8,3,VB|JJ,747.06,644.52,NA,3.33,NA
absorbs,7,1.42,1,2,875.33,"@b.z""Orbz",7,2,VB,675,671.04,NA,NA,NA
absorption,10,1.28,0,0,1920.89,"@b.z""Orp.Sn=",8,3,NN,825.69,712.15,10.94,3.22,NA
absorptions,11,0.3,0,0,1914.4,"@b.z""Orp.Sn=z",9,3,NN,841.13,791.63,NA,NA,NA
absorptive,10,NULL,0,0,1438.67,"@b.z""Orp.tIv",9,3,JJ,873.88,864.5,NA,NA,NA
abstain,7,1.43,0,0,2414.33,"@b.st""en",6,2,VB,729.5,717.42,12.95,2.38,NA
abstaining,10,0.95,0,0,2979.78,"@b.st""en.IN",8,3,VB|NN,861.88,791.88,NA,NA,NA
abstention,10,0.85,0,0,3101.67,"@b.st""En.Sn=",8,3,NN,985.39,942.13,15.19,2.16,NA
abstinence,10,1.66,0,1,2843.11,"""ab.st@.n@ns",9,3,NN,884.38,742.96,12.74,1.72,NA
abstinent,9,0.6,0,1,3197,"""ab.st@.n@nt",9,3,JJ,968.9,867.26,NA,1.77,NA
abstract,8,2.05,0,0,1742.29,"""ab.strakt",8,2,JJ|NN|VB,667.91,622.59,11.47,1.45,NA
abstracted,10,0.6,0,1,2341.78,"@b.str""akt.@d",10,3,JJ|VB,790.52,679.07,NA,1.48,NA
abstractedness,14,NULL,0,0,2267.31,"@b.str""akt.@d.n@s",13,4,NN,1073.32,933.52,NA,1.59,NA
abstracting,11,0.3,0,0,2778.7,"@b.str""akt.IN",10,3,VB|NN,875.26,740.19,NA,NA,NA
abstraction,11,1.2,0,1,2408.7,"@b.str""ak.Sn=",9,3,NN,820.06,686.46,13.65,1.57,NA
abstractionism,14,NULL,0,0,2222.31,"ab""strakS@%nIz@m",14,5,NN,1100,921.29,NA,1.75,NA
abstractionists,15,NULL,0,0,2352.5,"@b.str""ak.Sn=.Ists",13,4,NN,1187.81,817.73,NA,NA,NA
abstractions,12,0.78,0,0,2358.45,"@b.str""ak.Sn=z",10,3,NN,864.34,773.64,NA,NA,NA
abstractive,11,NULL,0,0,1974.7,"ab""straktIv",10,3,JJ,972.32,751.96,NA,1.6,NA
abstractly,10,0.48,0,0,1573.33,"""ab.strakt.li",10,3,RB,806.33,708.48,NA,1.36,NA
abstractors,11,NULL,0,0,1778.5,"ab.str""akt.@`z",10,3,NN,942.86,744.44,NA,NA,NA
abstracts,9,0.9,0,0,1650.25,"""ab.strakts",9,2,NN|VB,766.5,629.68,NA,NA,NA
abstruse,8,0.6,0,0,1520.86,"@b.str""us",7,2,JJ,1042.6,979.87,14.60,NA,NA
absurd,6,2.7,0,0,814.4,"@b.s""3`d",5,2,JJ|NN,736.57,613.81,10.50,1.64,NA
absurdities,11,0.85,0,0,1864.5,"@b.s""3`4.@.4iz",9,4,NN,928.44,750,NA,NA,NA
absurdity,9,1.52,0,0,1103.5,"@b.s""3`4.@.4i",8,4,NN,860.47,704.31,13.21,1.25,NA
absurdly,8,1.2,0,0,846.86,"@b.s""3`d.li",7,3,RB,808.72,695,NA,1.55,NA
abundance,9,1.66,0,1,1523.63,"@.b""Vn.4@ns",8,3,NN,698.73,629.82,10.45,2.21,NA
abundant,8,1.48,0,1,1739.57,"@.b""Vn.4@nt",8,3,JJ,660.75,618.93,12.84,2.83,NA
abuse,5,2.72,2,2,1255.75,"@.bj""uz",5,2,VB,608.69,581.2,8.61,2.71,NA
abused,6,2.37,2,2,1901.6,"@.bj""uzd",6,2,VB|JJ,620.94,631.96,NA,NA,NA
abuses,6,1.42,1,1,1902.4,"@.bj""uz.@z",7,3,VB,632.58,561.2,NA,NA,NA
abusive,7,1.92,0,0,1244,"@.bj""us.Iv",7,3,JJ,799.24,664.04,9.58,2.55,NA
abut,4,0.85,1,4,822,"@.b""Vt",4,2,VB,1072.33,729.42,13.11,NA,NA
abutment,8,0.85,0,0,1590.43,"@.b""Vt.m@nt",8,3,NN,1089.5,892,15.33,NA,NA
abutments,9,0.3,0,0,1517.38,"@.b""Vt.m@nts",9,3,NN,1164.25,821.92,NA,NA,NA
abysmal,7,1.34,0,0,1097,"@.b""Iz.ml=",6,3,JJ,714.58,756.5,13.78,NA,NA
abyss,5,1.96,0,3,720.75,"@.b""Is",4,2,NN,651.44,653.04,11.00,3.07,NA
acacia,6,0.95,1,0,1367.4,"@.k""e.S@",5,3,NN,1013.5,834.25,14.25,NA,NA
academic,8,2.38,0,0,1656.29,"%a.k@.d""E.mIk",8,4,JJ|NN,716.91,725,9.74,1,NA
academically,12,1.08,0,0,1783.82,"%a.k@.d""E.mIk.li",10,5,RB,868.61,743.89,NA,1.9,NA
academicianship,15,NULL,0,0,1567.57,"@.k%a.4@.m""I.Sn=.S%Ip",12,6,NN,1150.45,1184,NA,NA,NA
academics,9,1.56,1,0,1461.88,"%a.k@.d""E.mIks",9,4,NN,682.52,640.39,NA,NA,NA
academies,9,0.9,1,0,1880.5,"@.k""a.4@.miz",8,4,NN,794.96,763.69,NA,NA,NA
academy,7,2.8,0,1,1338.33,"@.k""a.4@.mi",7,4,NN,630.97,735.83,9.05,4.29,NA
Acadia,6,0.6,1,0,1463,"@.k""e.4i@",6,3,NN,959.62,892.09,NA,NA,NA
Acapulco,8,1.92,0,0,1160.71,"%a.k@.p""Ul.ko",8,4,NN,927.84,867.17,NA,NA,NA
accede,6,0.9,0,1,2081.2,"@k.s""id",5,2,VB,967.25,779,14.31,NA,NA
acceded,7,0.3,0,1,2481.83,"@k.s""i4.@d",7,3,VB,880.11,830.9,NA,NA,NA
accent,6,2.79,2,0,2030.8,"""ak.sEnt",6,2,NN,674.97,691.79,8.60,3.26,NA
accelerando,11,NULL,0,0,2357.5,"ak.s%E.l@`.r""An.4o",11,5,JJ|RB,1069.4,1021.27,14.50,NA,NA
accelerate,10,1.82,0,0,2924.22,"@k.s""E.l@`.ret",9,4,VB,710.85,727.26,10.74,3.48,NA
accelerated,11,1.7,0,0,3080.3,"@k.s""E.l@`.r%e4.@d",11,5,VB,741.56,720.78,10.11,3.18,NA
accelerating,12,1.66,0,0,3410.36,"@k.s""E.l@`.r%e4.IN",11,5,VB|NN,832.61,765.8,NA,NA,NA
acceleration,12,1.65,0,0,3074,"@k.s%E.l@`.r""e.Sn=",10,5,NN,712.16,749.81,9.84,2.97,NA
accelerations,13,NULL,0,0,2972.5,"@k.s%E.l@`.r""e.Sn=z",11,5,NN,828.49,859.63,NA,NA,NA
accelerator,11,1.85,0,0,2604.3,"@k.s""E.l@`.r%e4.@`",10,5,NN,838.23,747.11,10.27,4.32,NA
accelerators,12,0.7,0,0,2501.09,"@k.s""E.l@`.r%e4.@`z",11,5,NN,791.89,734.37,NA,NA,NA
accelerometer,13,NULL,0,0,2637,"@k.s%E.l@`.r""A.m@.4@`",12,6,NN,1130.87,823.6,NA,4.08,NA
accelerometers,14,NULL,0,0,2547.15,"@k.s%E.l@`.r""A.m@.4@`z",13,6,NN,1029.23,976.88,NA,NA,NA
accented,8,0.3,1,1,2719.14,"""ak.sEn4.@d",8,3,VB|JJ,642.73,769.53,NA,NA,NA
accenting,9,NULL,1,0,3218.13,"""ak.sEn4.IN",8,3,VB|NN,819.32,746.58,NA,NA,NA
accents,7,1.77,1,0,1860,"""ak.sEnts",7,2,NN,641.22,655.59,NA,NA,NA
accentual,9,NULL,0,0,1799.25,"ak.s""En.tSu@l",9,3,JJ,865,860.4,NA,NA,NA
accentuate,10,1.28,0,0,2211.78,"@k.s""En.tSu.et",9,4,VB,765.43,901.52,13.24,2,NA
accentuated,11,0.48,1,0,2439.1,"@k.s""En.tSu.%e4.@d",11,5,VB,938.72,947.48,NA,NA,NA
accentuates,11,0.7,1,0,2439.5,"@k.s""En.tSu.ets",10,4,VB,995.73,839.38,NA,NA,NA
accept,6,3.43,1,1,871.4,"@k.s""Ept",6,2,VB,556.39,628.08,6.74,3.03,NA
accolade,8,0.3,0,0,1590,"""a.k@.led",6,3,NN,960.35,811.74,12.43,2.46,NA
acceptable,10,2.43,0,0,1315.11,"@k.s""Ept.@.bl=",9,4,JJ,661.06,732.14,9.84,1.93,NA
acceptance,10,2.21,0,0,1416.33,"@k.s""Ept.@ns",9,3,NN,660.75,720.31,8.56,2.21,NA
accepted,8,2.9,1,0,1891,"@k.s""Ept.@d",8,3,VB|JJ,597.79,630,NA,2.28,NA
accepting,9,2.32,1,1,2493.5,"@k.s""Ept.IN",8,3,VB,630.55,687.63,NA,NA,NA
accepts,7,2.03,1,0,893.83,"@k.s""Epts",7,2,VB,735.67,682.07,NA,NA,NA
access,6,3.21,0,3,1876,"""ak.sEs",5,2,NN|VB,677.79,627.54,9.10,2.71,NA
accesses,8,0.48,0,3,2271.43,"""ak.sEs.@z",7,3,NN|VB,749.39,839.1,NA,NA,NA
accessible,10,1.76,0,0,1785.33,"@k.s""Es.@.bl=",8,4,JJ,709.22,689.75,9.94,1.8,NA
accessions,10,NULL,0,1,2227.56,"@k.s""E.Sn=z",7,3,NN,919.41,825.33,NA,NA,NA
accessories,11,1.89,0,0,2153.2,"@k.s""E.s@`.riz",9,4,NN,704.88,771.15,NA,NA,NA
accessors,9,NULL,1,1,1798.13,"""ak.sEs.@`z",7,3,NN,912.17,809.68,NA,NA,NA
accessory,9,2.17,1,0,1693.75,"@k.s""E.s@`.ri",8,4,NN,687.36,796.19,11.15,4.1,NA
accident,8,3.62,0,0,1850.71,"""ak.s@.dn=t",7,3,NN,621.78,610.48,5.30,3.26,NA
accidental,10,2.19,1,1,1988.44,"%ak.s@.d""En4.l=",9,4,JJ,691,645.27,6.75,2.17,NA
accidents,9,2.53,0,0,1745.13,"""ak.s@.dn=ts",8,3,NN,632.74,609.71,NA,NA,NA
acclaim,7,1.36,0,1,1015.17,"@.kl""em",5,2,NN|VB,828.19,702.89,12.11,2.04,NA
accidentally,12,2.65,0,0,1914.27,"%ak.s@.d""En4.l=.i",10,5,RB,704.6,652.37,NA,1.71,NA
acclaimed,9,1.32,0,1,1539.63,"@.kl""emd",6,2,VB|JJ,694.97,679.42,NA,NA,NA
acclaims,8,0.48,0,1,898.29,"@.kl""emz",6,2,VB,801.13,719.72,NA,NA,NA
acclimate,9,0.95,0,0,2019.63,"""a.kl@.met",7,3,VB,863.13,900.05,14.24,1.79,NA
acclamation,11,0.3,0,0,2298.3,"%a.kl@m.""e.Sn=",8,4,NN,816,764.5,14.00,2.23,NA
acclimatized,12,0.48,0,0,2011.27,"@.kl""aI.m@t.aIzd",10,4,VB|JJ,1205.63,823.67,NA,NA,NA
accolades,9,1,0,0,1952.38,"""a.k@.ledz",7,3,NN,899.06,819.5,NA,NA,NA
accommodate,11,2.04,0,0,1636.9,"@.k""A.m@.det",8,4,VB,726.15,683.33,9.90,1.86,NA
accommodated,12,0.78,1,0,1895.82,"@.k""A.m@.d%e4.@d",10,5,VB,705.59,729.88,NA,NA,NA
accommodates,12,0.6,1,0,1896.18,"@.k""A.m@.dets",9,4,VB,756.63,773.44,NA,NA,NA
accommodating,13,1.57,0,0,2297.08,"@.k""A.m@.d%e4.IN",10,5,VB|JJ,760.45,814.92,NA,1.77,NA
accommodation,13,1.69,0,0,1988.75,"@.k%A.m@.d""e.Sn=",9,5,NN,864.83,721.79,9.58,2.96,NA
accommodations,14,1.93,0,0,1978.54,"@.k%A.m@.d""e.Sn=z",10,5,NN,770.88,687.65,NA,NA,NA
accompanied,11,2.03,1,1,1809.3,"@.k""Vm.p@.nid",9,4,VB,787.09,748.75,NA,NA,NA
accompanies,11,1.15,1,1,1809.7,"@.k""Vm.p@.niz",9,4,VB,803.45,738.52,NA,NA,NA
accompaniment,13,1.2,0,0,1818,"@.k""Vm.p@.nI.m@nt",12,5,NN,728.36,824.79,11.18,2.26,NA
accompaniments,14,NULL,0,0,1755.54,"@.k""Vm.p@.nI.m@nts",13,5,NN,1015.39,841.2,NA,NA,NA
accompanist,11,1.04,0,0,1867.9,"@.k""Vm.p@.nIst",10,4,NN,817.18,781.5,12.78,NA,NA
accompanists,12,0.3,0,0,1789.55,"@.k""Vm.p@.nIsts",11,4,NN,886.08,919.93,NA,NA,NA
accompany,9,2.39,0,0,1374.13,"@.k""Vm.p@.ni",8,4,VB,725.84,664.96,10.75,3.07,NA
acorns,6,1.3,1,0,1804,"""e.kOrnz",6,2,NN,735.07,715.36,NA,NA,NA
acoustic,8,1.7,0,0,2530.57,"@.k""u.stIk",7,3,JJ,793.44,754.3,12.39,3.28,NA
acoustical,10,0.85,0,1,2509,"@.k""u.stIk.l=",8,4,JJ,855.69,775.23,12.90,2.42,NA
acoustics,9,1.36,0,1,2226.88,"@.k""u.stIks",8,3,NN,789.03,879.83,11.32,3.12,NA
accompanying,12,1.68,0,0,1995.55,"@.k""Vm.p@.ni.IN",10,5,VB,899.42,720.14,NA,NA,NA
accomplice,10,2.34,0,1,1522.78,"@.k""Am.plIs",8,3,NN,784.33,737.32,9.78,3.34,NA
accomplices,11,1.77,0,1,1819.4,"@.k""Am.plIs.@z",10,4,NN,940.52,811.35,NA,NA,NA
accomplish,10,2.48,0,1,1537.22,"@.k""Am.plIS",8,3,VB,773.12,616.81,7.84,2.33,NA
accomplished,12,2.59,1,0,1824.45,"@.k""Am.plISt",9,3,VB|JJ,726.79,793.11,NA,1.7,NA
accomplishes,12,0.9,1,1,1824.82,"@.k""Am.plIS.@z",10,4,VB,862.14,673.81,NA,NA,NA
accomplishing,13,1.43,0,0,2144.58,"@.k""Am.plIS.IN",10,4,VB,708.63,711.89,NA,NA,NA
accomplishment,14,1.99,0,0,1729.92,"@.k""Am.plIS.m@nt",12,4,NN,803.06,662.86,9.00,2.5,NA
accomplishments,15,1.91,0,0,1678.21,"@.k""Am.plIS.m@nts",13,4,NN,776.33,722.57,NA,NA,NA
accord,6,1.92,0,5,1508.6,"@.k""Ord",5,2,NN|VB,683.71,602,9.65,1.57,NA
accordance,10,1.91,0,0,1621.11,"@.k""Ord.n=s",7,3,NN,767.24,691.15,11.75,1.54,NA
accorded,8,0.9,0,3,2089.86,"@.k""Or4.@d",7,3,VB,763.74,681.71,NA,NA,NA
according,9,3.33,0,2,2529.25,"@.k""Or4.IN",7,3,VB|NN,707.18,627.19,8.45,1.63,NA
accordingly,11,1.97,0,0,2221.4,"@.k""Or4.IN.li",9,4,RB,736.58,649.22,NA,1.58,NA
accordion,9,1.83,0,0,2066.75,"@.k""Or.4i@n",8,3,NN,930.2,766.15,8.61,4.86,NA
accords,7,1,0,2,1326.33,"@.k""Ordz",6,2,NN|VB,680.44,644.3,NA,NA,NA
